Model ID,12,24,36,48,72,96,120
OFCL,5.6,8.7,10.0,10.2,13.8,15.7,20.1
OCD5,7.4,11.9,15.7,17.8,22.9,31.3,37.4
HWFI,7.4,10.4,13.1,14.2,15.9,20.7,25.1
HMNI,7.2,10.2,12.3,13.7,20.3,25.8,29.1
CTCI,7.3,10.7,13.1,12.9,15.3,15.9,17.4
DSHP,7.1,10.8,13.2,14.5,17.6,19.2,28.6
LGEM,7.2,10.7,12.9,14.5,16.9,16.0,25.5
IVCN,6.5,9.1,10.8,11.3,13.4,14.6,21.1
FSSE,6.4,9.2,10.5,10.8,12.8,14.5,18.3
HCCA,6.2,9.1,10.4,10.5,13.3,16.2,20.0
GFSI,7.2,10.5,14.6,17.0,23.3,23.8,30.7
EMXI,8.1,10.9,14.0,16.2,20.9,23.7,29.2
Forecasts,143,130,115,107,83,62,47
