Model ID,12,24,36,48,60,72,96,120
OFCL,4.7,8.0,10.3,11.9,13.0,14.6,14.1,13.6
OCD5,6.1,10.6,15.0,16.4,17.7,17.3,15.6,13.1
HWFI,6.1,8.6,10.7,11.5,12.9,14.9,15.7,20.2
HMNI,6.1,9.2,11.0,11.4,10.9,11.5,12.8,11.7
CTCI,5.8,8.5,10.5,12.7,15.3,16.7,17.6,13.8
DSHP,5.5,9.4,13.3,15.9,18.5,20.7,23.2,23.5
LGEM,5.4,8.7,12.0,14.3,16.1,16.5,13.9,10.9
IVCN,4.9,7.5,9.8,11.2,12.7,13.8,14.8,14.8
HCCA,5.2,8.0,10.9,12.5,13.2,12.9,11.5,9.4
GFSI,5.9,9.6,12.0,13.7,15.3,16.2,14.8,11.4
EMXI,6.5,10.6,14.1,15.6,16.9,17.7,16.3,13.4
NNIC,5.1,7.5,10.2,11.1,13.0,14.1,16.8,18.3
Forecasts,254,222,193,164,136,109,74,44
