Model ID,12,24,36,48,72,96,120
OFCL,5.5,7.3,8.9,12.0,14.6,17.0,16.9,13.9
OCD5,6.6,10.9,13.8,16.3,17.5,17.2,16.9,11.3
HWFI,5.9,7.9,9.4,10.5,12.2,13.2,13.7,17.9
HMNI,6.0,7.9,8.9,9.9,11.5,13.9,14.9,12.5
DSHP,5.8,8.4,10.5,13.5,16.4,19.1,21.5,19.7
LGEM,5.8,8.5,10.9,13.3,15.8,17.1,20.4,18.9
IVCN,5.2,7.3,9.0,11.0,12.9,15.1,17.1,16.7
HCCA,5.6,7.9,9.5,10.8,12.6,14.4,15.9,15.4
FSSE,5.7,7.8,9.2,11.3,14.0,16.5,16.8,16.1
GFSI,6.2,9.9,12.7,14.8,16.3,17.0,20.1,18.1
EMXI,7.4,12.4,16.0,18.8,19.5,18.8,16.6,12.2
NNIC,5.7,7.8,9.0,9.3,11.7,12.8,16.6,16.1
Forecasts,159,132,114,95,80,64,36,23
