Model ID,12,24,36,48,60,72,96,120
OFCL,21.8,33.9,45.5,57.9,68.0,77.4,87.6,103.4
OCD5,35.1,69.8,110.5,153.7,193.5,230.6,265.6,265.6
GFSI,24.6,40.8,59.3,81.3,94.0,110.4,131.2,127.1
HWFI,25.6,45.3,66.9,87.6,104.7,116.2,155.3,234.9
HMNI,25.3,41.8,58.9,73.5,89.7,104.2,136.6,184.4
CTCI,25.8,40.0,56.4,76.1,88.9,104.2,122.3,145.9
EMXI,22.9,35.1,47.2,57.7,69.7,78.8,91.9,87.3
CMCI,26.0,41.9,59.9,83.4,100.2,115.0,128.5,145.8
NVGI,31.7,55.6,77.2,93.8,101.8,116.0,134.4,167.6
AEMI,24.3,39.2,56.3,74.1,85.9,100.6,119.2,128.9
TVCE,21.6,34.4,47.6,59.7,70.2,78.4,97.7,128.2
HCCA,21.5,33.6,46.9,55.7,64.5,71.6,81.2,102.6
Forecasts,251,218,189,154,130,108,70,42
